Year,World Population,Yearly Change In Percentage,Net Change,Density_PKM,Urban Pop,Urban Pop In Percentage 
2010,6956823603,1.22,84056510,47,3594868146,52
2011,7041194301,1.21,84370698,47,3671423872,52
2012,7125828059,1.20,84633758,48,3747842586,53
2013,7210581976,1.19,84753917,48,3824990329,53
2014,7295290765,1.17,84708789,49,3902831934,53
2015,7379797139,1.16,84506374,50,3981497663,54
2016,7464022049,1.14,84224910,50,4060652683,54
2017,7547858925,1.12,83836876,51,4140188594,55
2018,7631091040,1.10,83232115,51,4219817318,55
2019,7713468100,1.08,82377060,52,4299438618,56
2020,7794798739,1.05,81330639,52,4378993944,56
